idx,AirGap_pred,AirGap_gt,err
206,700.7492,651.0,49.749207
207,698.8855,651.0,47.885498
208,697.01874,651.0,46.018738
209,699.2428,650.0,49.242798
210,700.9038,650.0,50.90381
211,697.8505,651.0,46.850525
212,699.6448,652.0,47.644775
213,699.7826,651.0,48.782593
214,700.13403,651.0,49.134033
215,698.6937,650.0,48.693726
216,697.70154,650.0,47.701538
217,700.99866,650.0,50.998657
218,701.74316,651.0,50.743164
219,697.9396,651.0,46.939575
220,699.2174,651.0,48.217407
221,698.8261,651.0,47.82611
222,700.15027,650.0,50.15027
223,699.45746,651.0,48.45746
224,698.5473,651.0,47.547302
225,700.47986,652.0,48.47986
226,700.8403,651.0,49.84027
227,697.26654,651.0,46.26654
228,698.6034,651.0,47.603394
229,699.4534,650.0,49.45343
230,700.57764,650.0,50.577637
231,699.4042,651.0,48.404175
232,698.6476,651.0,47.647583
233,700.19696,651.0,49.19696
234,699.8266,651.0,48.8266
235,696.82477,650.0,46.824768
236,699.4545,650.0,49.45453
237,700.12695,651.0,49.126953
238,701.25464,651.0,50.25464
239,699.3414,651.0,48.34137
240,698.0383,651.0,47.03833
241,699.8408,651.0,48.84082
242,699.3385,650.0,49.3385
243,697.5538,650.0,47.553772
244,699.70984,651.0,48.70984
245,700.4138,652.0,48.41382
246,700.288,651.0,49.288025
247,698.34265,651.0,47.34265
248,697.5532,651.0,46.553223
249,700.79346,651.0,49.793457
250,700.5641,650.0,50.564087
251,698.42163,651.0,47.42163
252,699.9346,652.0,47.93457
253,699.8921,651.0,48.89209
254,700.97437,651.0,49.974365
255,698.78436,650.0,48.784363
256,698.5049,651.0,47.504883
257,701.848,650.0,51.848022
258,701.2147,652.0,49.21472
259,699.09784,651.0,48.09784
260,698.9965,651.0,47.99652
261,699.2381,651.0,48.2381
262,699.7977,651.0,48.79773
263,698.72125,651.0,47.721252
264,699.29175,651.0,48.291748
265,701.407,652.0,49.406982
266,700.5586,651.0,49.558594
267,697.56915,651.0,46.569153
268,698.6415,650.0,48.64148
269,699.2285,650.0,49.228516
270,700.8958,651.0,49.895813
271,699.728,651.0,48.728027
272,698.6086,651.0,47.60858
273,700.14075,651.0,49.140747
274,698.9364,651.0,47.9364
275,697.476,651.0,46.476013
276,698.63635,650.0,48.636353
277,699.6601,651.0,48.660095
278,700.6968,651.0,49.696777
279,698.8434,651.0,47.843384
280,698.23914,651.0,47.239136
281,699.30005,651.0,48.30005
282,698.12256,650.0,48.12256
283,697.36914,651.0,46.36914
284,699.00366,651.0,48.003662
285,699.84534,652.0,47.845337
286,700.1368,651.0,49.13678
287,697.6398,651.0,46.63977
288,696.8055,651.0,45.80548
289,698.67535,650.0,48.675354
290,698.3722,651.0,47.372192
291,697.3103,651.0,46.310303
292,697.90936,651.0,46.909363
293,697.5691,651.0,46.56909
294,698.49384,651.0,47.493835
295,696.59937,650.0,46.599365
296,696.0748,651.0,45.07483
297,698.36694,650.0,48.366943
298,697.6773,651.0,46.677307
299,695.6995,651.0,44.699524
300,696.53064,651.0,45.53064
301,696.7369,652.0,44.736877
302,697.39685,651.0,46.39685
303,696.8785,651.0,45.87848
304,696.6862,651.0,45.68622
305,698.1101,652.0,46.110107
306,696.4147,651.0,45.414673
307,695.7242,651.0,44.724182
308,695.9386,651.0,44.9386
309,696.29376,651.0,45.293762
310,697.5661,651.0,46.5661
311,697.00214,652.0,45.002136
312,695.99744,652.0,43.997437
313,697.24146,651.0,46.241455
314,695.5094,651.0,44.5094
315,695.3458,651.0,44.345825
316,696.4369,651.0,45.43689
317,697.53796,650.0,47.537964
318,697.9059,652.0,45.905884
319,697.4576,651.0,46.45758
320,696.2451,651.0,45.245117
321,697.0156,651.0,46.015625
322,696.26135,651.0,45.261353
323,696.7427,651.0,45.742676
324,697.33765,651.0,46.337646
325,697.3761,652.0,45.3761
326,696.96606,652.0,44.966064
327,696.325,651.0,45.325012
328,695.8379,651.0,44.83789
329,697.73535,651.0,46.73535
330,696.84894,651.0,45.848938
331,697.8138,651.0,46.81378
332,698.2047,651.0,47.204712
333,697.8929,651.0,46.892883
334,696.9193,651.0,45.91931
335,697.29266,650.0,47.292664
336,696.1477,651.0,45.147705
337,698.4942,651.0,47.4942
338,696.95294,651.0,45.95294
339,697.42645,652.0,45.426453
340,697.1128,651.0,46.112793
341,697.0566,651.0,46.05658
342,695.8275,651.0,44.827515
343,697.20056,651.0,46.20056
344,696.9601,651.0,45.960083
345,698.73315,652.0,46.733154
346,696.93616,651.0,45.936157
347,697.108,651.0,46.10797
348,698.239,651.0,47.239014
349,697.09875,650.0,47.098755
350,697.94775,650.0,47.947754
351,697.9919,652.0,45.991882
352,697.5021,652.0,45.502075
